xmin,ymin,xmax,ymax,center_x,center_y,3D_x,3D_y,3D_z,confidence,class,name,date,time,Trans_x,Trans_y,Trans_z,Q_x,Q_y,Q_z,Q_w
380.5,110.625,430.5,188.875,405,149,452.98385468125394,-485.0648368120032,2083.0,0.89794921875,41,cup,22-09-2022,15:04:57,0.2659864600807368,0.1057583793075686,0.19935734797105467,-0.9207292917686616,0.38948858073464254,-0.007943324853393014,-0.02220631321867677
216.125,113.0,268.0,195.75,242,154,-190.07498822552745,-202.27128225991112,920.0,0.90771484375,41,cup,22-09-2022,15:06:44,0.2882282428697875,-0.16785875883938356,0.1935395655390734,-0.934614031559699,0.35452387780785516,0.0031110920877153083,-0.028279907740810403
263.5,0.625,334.0,125.1875,298,62,-53.78387141799584,-405.4847676991045,883.0,0.2880859375,41,cup,22-09-2022,15:06:44,0.2882282428697875,-0.16785875883938356,0.1935395655390734,-0.934614031559699,0.35452387780785516,0.0031110920877153083,-0.028279907740810403
237.0,248.375,309.0,348.0,273,298,-94.71578566934741,116.39358020503938,752.0,0.27197265625,41,cup,22-09-2022,15:07:05,0.616130380052432,-0.15744055142754043,0.19271861017168265,-0.935972782286679,0.34922589110511587,-0.0391667751640218,-0.021498640041201847
340.25,218.75,405.25,314.25,372,266,119.10915237771302,64.73069824130825,905.0,0.84912109375,41,cup,22-09-2022,15:07:43,0.5706715012924846,-0.022486847998516475,0.19889939137696971,-0.9308098567759345,0.3631637875430169,-0.026474984606696856,-0.03168831229728558
306.75,150.875,362.75,242.125,334,196,0.0,-0.0,0.0,0.88671875,41,cup,22-09-2022,15:07:55,0.4134120843541086,-0.043552309378270704,0.19630439312906026,-0.934724496746151,0.3544688493059924,-0.0013255584899515586,-0.02530203448400682
206.625,126.9375,258.25,197.0,232,161,-221.22145877378435,-191.76770613107823,951.0,0.73876953125,41,cup,22-09-2022,15:08:04,0.2805501276348333,-0.1816837302143716,0.17105129851844345,-0.9263395804397667,0.3754477317338511,-0.000840464191056402,-0.030549567370532417
373.25,136.75,422.25,203.5,397,170,408.2532453241132,-370.0128655366349,2076.0,0.8525390625,41,cup,22-09-2022,15:08:11,0.3127625986639363,0.0802437942618679,0.17456250184254068,-0.9272575640250537,0.3737377599663117,0.0008039333366625634,-0.022646201113605338
212.875,268.5,285.0,350.0,248,309,-144.58192706591578,138.8314818511154,757.0,0.58056640625,41,cup,22-09-2022,15:08:18,0.6232539426436519,-0.1760671241145808,0.17041079630288936,-0.9335549674118447,0.3550960421249041,-0.03021448976016207,-0.038327644024005396
319.5,198.75,376.5,272.25,348,235,69.44921542155788,-9.162275098046502,1004.0,0.85693359375,41,cup,22-09-2022,15:08:30,0.4809446699781073,-0.030378523134741625,0.16756136671857347,-0.9265912402416783,0.3735711863741171,0.0058412625939490564,-0.042884984198796126
